id,lat,lon,hoehe
W0185,52.2662,10.6021,104.0
W0186,52.2662,10.6317,83.0
W0187,52.2662,10.6612,115.0
W0188,52.2662,10.7203,130.0
W0189,52.2662,10.868,96.0
W0190,52.2662,10.8975,139.0
W0191,52.2662,10.9566,108.0
W0192,52.2662,10.9861,168.0
W0193,52.2662,11.0157,161.0
W0194,52.2662,11.0452,157.0
W0195,52.2662,11.0747,116.0
W0196,52.2662,11.1043,119.0
W0197,52.2662,11.1338,180.0
W0198,52.2842,10.1,74.0
W0199,52.2842,10.1886,87.0
W0200,52.2842,10.2477,72.0
W0201,52.2842,10.3363,92.0
W0202,52.2842,10.3658,73.0
W0203,52.2842,10.3954,82.0
W0204,52.2842,10.4545,90.0
W0205,52.2842,10.5135,70.0
W0206,52.2842,10.5431,73.0
W0207,52.2842,10.5726,79.0
W0208,52.2842,10.6021,86.0
W0209,52.2842,10.6317,107.0
W0210,52.2842,10.7203,104.0
W0211,52.2842,10.8089,109.0
W0212,52.2842,10.8384,100.0
W0213,52.2842,10.868,181.0
W0214,52.2842,10.8975,120.0
W0215,52.2842,11.0157,190.0
W0216,52.2842,11.0452,120.0
W0217,52.2842,11.0747,132.0
W0218,52.2842,11.1043,124.0
W0219,52.2842,11.1338,119.0
W0220,52.3023,10.1886,75.0
W0221,52.3023,10.2772,74.0
W0222,52.3023,10.3068,79.0
W0223,52.3023,10.3363,92.0
W0224,52.3023,10.3658,69.0
W0225,52.3023,10.4249,81.0
W0226,52.3023,10.5431,78.0
W0227,52.3023,10.5726,80.0
W0228,52.3023,10.6317,81.0
W0229,52.3023,10.6612,88.0
W0230,52.3023,10.6908,117.0
W0231,52.3023,10.7203,100.0
W0232,52.3023,10.8089,94.0
W0233,52.3023,10.8384,97.0
W0234,52.3023,10.868,112.0
W0235,52.3023,10.8975,111.0
W0236,52.3023,10.9271,137.0
W0237,52.3023,10.9861,150.0
W0238,52.3023,11.0157,104.0
W0239,52.3023,11.0452,88.0
W0240,52.3023,11.0747,131.0
W0241,52.3023,11.1043,101.0
W0242,52.3023,11.1338,163.0
W0243,52.3203,10.2182,72.0
W0244,52.3203,10.3068,88.0
W0245,52.3203,10.3363,73.0
W0246,52.3203,10.5726,88.0
W0247,52.3203,10.6021,85.0
W0248,52.3203,10.6317,75.0
W0249,52.3203,10.6612,89.0
W0250,52.3203,10.6908,87.0
W0251,52.3203,10.7203,118.0
W0252,52.3203,10.7498,102.0
W0253,52.3203,10.8384,126.0
W0254,52.3203,10.868,114.0
W0255,52.3203,10.9271,168.0
W0256,52.3203,10.9566,164.0
W0257,52.3203,10.9861,127.0
W0258,52.3203,11.0452,133.0
W0259,52.3383,10.1,68.0
W0260,52.3383,10.1295,84.0
W0261,52.3383,10.3363,91.0
W0262,52.3383,10.3658,76.0
W0263,52.3383,10.484,70.0
W0264,52.3383,10.5135,70.0
W0265,52.3383,10.5726,86.0
W0266,52.3383,10.6021,112.0
W0267,52.3383,10.6317,93.0
W0268,52.3383,10.6612,83.0
W0269,52.3383,10.6908,78.0
W0270,52.3383,10.7203,111.0
W0271,52.3383,10.7498,96.0
W0272,52.3383,10.868,121.0
W0273,52.3383,10.8975,144.0
W0274,52.3383,10.9271,120.0
W0275,52.3383,10.9566,107.0
W0276,52.3383,10.9861,112.0
W0277,52.3383,11.1043,102.0
W0278,52.3383,11.1338,120.0
W0279,52.3563,10.1,82.0
W0280,52.3563,10.1295,68.0
W0281,52.3563,10.2772,70.0
W0282,52.3563,10.3068,84.0
W0283,52.3563,10.3363,68.0
W0284,52.3563,10.3658,67.0
W0285,52.3563,10.4249,64.0
W0286,52.3563,10.484,85.0
W0287,52.3563,10.5135,99.0
W0288,52.3563,10.5726,81.0
W0289,52.3563,10.6021,93.0
W0290,52.3563,10.6317,98.0
W0291,52.3563,10.6612,104.0
W0292,52.3563,10.6908,96.0
W0293,52.3563,10.8089,102.0
W0294,52.3563,10.8384,110.0
W0295,52.3563,10.868,134.0
W0296,52.3563,10.9861,117.0
W0297,52.3563,11.0157,83.0
W0298,52.3563,11.0452,84.0
W0299,52.3563,11.0747,94.0
W0300,52.3563,11.1043,103.0
W0301,52.3563,11.1338,105.0
W0302,52.3743,10.1,64.0
W0303,52.3743,10.1886,68.0
W0304,52.3743,10.3068,71.0
W0305,52.3743,10.3363,87.0
W0306,52.3743,10.3658,63.0
W0307,52.3743,10.3954,63.0
W0308,52.3743,10.4249,71.0
W0309,52.3743,10.5135,79.0
W0310,52.3743,10.5726,77.0
W0311,52.3743,10.6612,90.0
W0312,52.3743,10.6908,73.0
W0313,52.3743,10.7203,106.0
W0314,52.3743,10.7498,111.0
W0315,52.3743,10.7794,131.0
W0316,52.3743,10.8089,133.0
W0317,52.3743,10.8384,117.0
W0318,52.3743,10.868,136.0
W0319,52.3743,10.8975,90.0
W0320,52.3743,10.9861,84.0
W0321,52.3743,11.0157,95.0
W0322,52.3743,11.0452,76.0
W0323,52.3743,11.0747,73.0
W0324,52.3923,10.2182,62.0
W0325,52.3923,10.2477,77.0
W0326,52.3923,10.3363,63.0
W0327,52.3923,10.3658,76.0
W0328,52.3923,10.3954,61.0
W0329,52.3923,10.4545,78.0
W0330,52.3923,10.484,72.0
W0331,52.3923,10.5135,83.0
W0332,52.3923,10.6021,63.0
W0333,52.3923,10.6612,79.0
W0334,52.3923,10.6908,72.0
W0335,52.3923,10.7203,94.0
W0336,52.3923,10.7498,93.0
W0337,52.3923,10.7794,117.0
W0338,52.3923,10.8089,92.0
W0339,52.3923,10.868,84.0
W0340,52.3923,10.8975,106.0
W0341,52.3923,11.0157,68.0
W0342,52.3923,11.0452,69.0
W0343,52.3923,11.0747,97.0
W0344,52.4104,10.1,65.0
W0345,52.4104,10.1295,63.0
W0346,52.4104,10.1886,60.0
W0347,52.4104,10.2182,60.0
W0348,52.4104,10.2477,72.0
W0349,52.4104,10.2772,70.0
W0350,52.4104,10.3363,61.0
W0351,52.4104,10.3658,73.0
W0352,52.4104,10.4249,70.0
W0353,52.4104,10.4545,75.0
W0354,52.4104,10.484,64.0
W0355,52.4104,10.5135,66.0
W0356,52.4104,10.5431,69.0
W0357,52.4104,10.7498,89.0
W0358,52.4104,10.7794,80.0
W0359,52.4104,10.8089,68.0
W0360,52.4104,10.868,102.0
W0361,52.4104,10.8975,109.0
W0362,52.4104,10.9271,104.0
W0363,52.4104,10.9566,82.0
W0364,52.4104,11.0452,85.0
W0365,52.4284,10.1,60.0
W0366,52.4284,10.1295,73.0
W0367,52.4284,10.1591,61.0
W0368,52.4284,10.1886,62.0
W0369,52.4284,10.2182,58.0
W0370,52.4284,10.2477,57.0
W0371,52.4284,10.2772,59.0
W0372,52.4284,10.3068,62.0
W0373,52.4284,10.3363,65.0
W0374,52.4284,10.3658,57.0
W0375,52.4284,10.4545,64.0
W0376,52.4284,10.484,58.0
W0377,52.4284,10.5135,59.0
W0378,52.4284,10.5431,64.0
W0379,52.4284,10.5726,64.0
W0380,52.4284,10.6317,55.0
W0381,52.4284,10.6612,54.0
W0382,52.4284,10.7498,59.0
W0383,52.4284,10.868,61.0
W0384,52.4284,10.8975,85.0
W0385,52.4284,10.9271,64.0
W0386,52.4284,10.9566,61.0
W0387,52.4284,11.0157,61.0
W0388,52.4284,11.0452,70.0
W0389,52.4284,11.1338,56.0
W0390,52.4464,10.1,62.0
W0391,52.4464,10.1295,69.0
W0392,52.4464,10.1591,61.0
W0393,52.4464,10.2477,67.0
W0394,52.4464,10.2772,53.0
W0395,52.4464,10.3068,55.0
W0396,52.4464,10.3363,64.0
W0397,52.4464,10.3658,55.0
W0398,52.4464,10.3954,62.0
W0399,52.4464,10.4545,56.0
W0400,52.4464,10.484,53.0
W0401,52.4464,10.5135,53.0
W0402,52.4464,10.5431,65.0
W0403,52.4464,10.5726,61.0
W0404,52.4464,10.6021,56.0
W0405,52.4464,10.6317,70.0
W0406,52.4464,10.6612,54.0
W0407,52.4464,10.6908,69.0
W0408,52.4464,10.7203,66.0
W0409,52.4464,10.7794,60.0
W0410,52.4464,10.8089,68.0
W0411,52.4464,10.8975,57.0
W0412,52.4464,10.9271,59.0
W0413,52.4464,11.1043,65.0
W0414,52.4464,11.1338,64.0
W0415,52.4644,10.1,54.0
W0416,52.4644,10.1295,61.0
W0417,52.4644,10.1591,56.0
W0418,52.4644,10.1886,50.0
W0419,52.4644,10.2182,49.0
W0420,52.4644,10.2477,50.0
W0421,52.4644,10.2772,53.0
W0422,52.4644,10.3068,65.0
W0423,52.4644,10.3363,56.0
W0424,52.4644,10.3658,54.0
W0425,52.4644,10.3954,67.0
W0426,52.4644,10.4249,55.0
W0427,52.4644,10.4545,58.0
W0428,52.4644,10.484,70.0
W0429,52.4644,10.5135,69.0
W0430,52.4644,10.5431,57.0
W0431,52.4644,10.5726,59.0
W0432,52.4644,10.6021,54.0
W0433,52.4644,10.6317,63.0
W0434,52.4644,10.6612,68.0
W0435,52.4644,10.6908,72.0
W0436,52.4644,10.7794,71.0
W0437,52.4644,10.8089,84.0
W0438,52.4644,10.8384,70.0
W0439,52.4644,10.868,59.0
W0440,52.4644,10.8975,56.0
W0441,52.4644,10.9271,56.0
W0442,52.4644,10.9566,56.0
W0443,52.4644,11.0452,66.0
W0444,52.4644,11.1043,57.0
W0445,52.4644,11.1338,58.0
W0446,52.4824,10.1295,62.0
W0447,52.4824,10.1591,45.0
W0448,52.4824,10.1886,62.0
W0449,52.4824,10.2477,49.0
W0450,52.4824,10.2772,51.0
W0451,52.4824,10.3068,52.0
W0452,52.4824,10.3954,56.0
W0453,52.4824,10.4249,68.0
W0454,52.4824,10.4545,59.0
W0455,52.4824,10.484,55.0
W0456,52.4824,10.5135,54.0
W0457,52.4824,10.5726,56.0
W0458,52.4824,10.6021,54.0
W0459,52.4824,10.6317,53.0
W0460,52.4824,10.6612,64.0
W0461,52.4824,10.6908,64.0
W0462,52.4824,10.7203,68.0
W0463,52.4824,10.7794,60.0
W0464,52.4824,10.8089,66.0
W0465,52.4824,10.9566,56.0
W0466,52.4824,10.9861,58.0
W0467,52.4824,11.0157,67.0
W0468,52.4824,11.0452,56.0
W0469,52.5005,10.1,43.0
W0470,52.5005,10.1295,44.0
W0471,52.5005,10.1591,43.0
W0472,52.5005,10.1886,44.0
W0473,52.5005,10.2477,54.0
W0474,52.5005,10.2772,48.0
W0475,52.5005,10.3068,49.0
W0476,52.5005,10.3954,50.0
W0477,52.5005,10.4249,47.0
W0478,52.5005,10.4545,58.0
W0479,52.5005,10.484,56.0
W0480,52.5005,10.5135,64.0
W0481,52.5005,10.5431,58.0
W0482,52.5005,10.5726,62.0
W0483,52.5005,10.6021,54.0
W0484,52.5005,10.6612,78.0
W0485,52.5005,10.6908,86.0
W0486,52.5005,10.7203,74.0
W0487,52.5005,10.7498,78.0
W0488,52.5005,10.8089,67.0
W0489,52.5005,10.8384,84.0
W0490,52.5005,10.868,83.0
W0491,52.5005,10.8975,66.0
W0492,52.5005,10.9271,69.0
W0493,52.5005,10.9566,75.0
W0494,52.5005,10.9861,57.0
W0495,52.5005,11.1043,61.0
W0496,52.5185,10.1,55.0
W0497,52.5185,10.1295,42.0
W0498,52.5185,10.1591,51.0
W0499,52.5185,10.2477,46.0
W0500,52.5185,10.2772,47.0
W0501,52.5185,10.3068,47.0
W0502,52.5185,10.3954,65.0
W0503,52.5185,10.4249,61.0
W0504,52.5185,10.4545,52.0
W0505,52.5185,10.5135,62.0
W0506,52.5185,10.5431,57.0
W0507,52.5185,10.5726,70.0
W0508,52.5185,10.6021,55.0
W0509,52.5185,10.6317,56.0
W0510,52.5185,10.6612,81.0
W0511,52.5185,10.6908,89.0
W0512,52.5185,10.7203,91.0
W0513,52.5185,10.7498,80.0
W0514,52.5185,10.7794,82.0
W0515,52.5185,10.8384,85.0
W0516,52.5185,10.868,78.0
W0517,52.5185,10.8975,69.0
W0518,52.5185,10.9271,73.0
W0519,52.5185,10.9566,68.0
W0520,52.5185,10.9861,56.0
W0521,52.5185,11.0157,56.0
W0522,52.5365,10.1,54.0
W0523,52.5365,10.1295,42.0
W0524,52.5365,10.2182,43.0
W0525,52.5365,10.2477,59.0
W0526,52.5365,10.2772,47.0
W0527,52.5365,10.3068,47.0
W0528,52.5365,10.4545,56.0
W0529,52.5365,10.484,63.0
W0530,52.5365,10.5135,67.0
W0531,52.5365,10.5431,54.0
W0532,52.5365,10.5726,59.0
W0533,52.5365,10.6021,58.0
W0534,52.5365,10.6317,63.0
W0535,52.5365,10.6612,82.0
W0536,52.5365,10.6908,79.0
W0537,52.5365,10.7203,73.0
W0538,52.5365,10.7498,92.0
W0539,52.5365,10.7794,67.0
W0540,52.5365,10.8089,61.0
W0541,52.5365,10.9271,58.0
W0542,52.5365,10.9566,71.0
W0543,52.5365,11.0747,57.0
W0544,52.5365,11.1043,62.0
W0545,52.5545,10.2182,61.0
W0546,52.5545,10.2477,46.0
W0547,52.5545,10.3363,64.0
W0548,52.5545,10.3954,48.0
W0549,52.5545,10.4249,50.0
W0550,52.5545,10.4545,64.0
W0551,52.5545,10.484,76.0
W0552,52.5545,10.5135,63.0
W0553,52.5545,10.5431,56.0
W0554,52.5545,10.5726,53.0
W0555,52.5545,10.6317,57.0
W0556,52.5545,10.6612,69.0
W0557,52.5545,10.6908,71.0
W0558,52.5545,10.7203,74.0
W0559,52.5545,10.7498,83.0
W0560,52.5545,10.7794,76.0
W0561,52.5545,10.8089,67.0
W0562,52.5545,10.8384,77.0
W0563,52.5545,10.868,85.0
W0564,52.5545,10.8975,71.0
W0565,52.5545,10.9271,70.0
W0566,52.5545,11.0747,58.0
W0567,52.5545,11.1338,60.0
W0568,52.5725,10.1591,41.0
W0569,52.5725,10.1886,49.0
W0570,52.5725,10.2182,51.0
W0571,52.5725,10.2772,57.0
W0572,52.5725,10.3068,44.0
W0573,52.5725,10.3363,60.0
W0574,52.5725,10.3658,47.0
W0575,52.5725,10.3954,57.0
W0576,52.5725,10.4249,62.0
W0577,52.5725,10.4545,55.0
W0578,52.5725,10.484,71.0
W0579,52.5725,10.5135,71.0
W0580,52.5725,10.5431,56.0
W0581,52.5725,10.5726,71.0
W0582,52.5725,10.6021,70.0
W0583,52.5725,10.6317,63.0
W0584,52.5725,10.6612,59.0
W0585,52.5725,10.6908,86.0
W0586,52.5725,10.7203,92.0
W0587,52.5725,10.7498,75.0
W0588,52.5725,10.7794,75.0
W0589,52.5725,10.8089,74.0
W0590,52.5725,10.8384,77.0
W0591,52.5725,10.868,69.0
W0592,52.5725,10.8975,77.0
W0593,52.5725,10.9271,76.0
W0594,52.5725,11.0747,63.0
W0595,52.5725,11.1338,72.0
W0596,52.5905,10.1591,50.0
W0597,52.5905,10.1886,41.0
W0598,52.5905,10.2182,54.0
W0599,52.5905,10.2477,52.0
W0600,52.5905,10.2772,48.0
W0601,52.5905,10.3068,49.0
W0602,52.5905,10.3363,66.0
W0603,52.5905,10.4545,60.0
W0604,52.5905,10.484,70.0
W0605,52.5905,10.5135,64.0
W0606,52.5905,10.5431,62.0
W0607,52.5905,10.5726,65.0
W0608,52.5905,10.6317,73.0
W0609,52.5905,10.6612,62.0
W0610,52.5905,10.6908,90.0
W0611,52.5905,10.7203,95.0
W0612,52.5905,10.7498,95.0
W0613,52.5905,10.7794,85.0
W0614,52.5905,10.8089,102.0
W0615,52.5905,10.8384,96.0
W0616,52.5905,10.868,76.0
W0617,52.5905,10.9566,71.0
W0618,52.5905,11.0157,77.0
W0619,52.5905,11.0452,73.0
W0620,52.5905,11.1338,82.0
W0621,52.6086,10.1295,49.0
W0622,52.6086,10.1591,43.0
W0623,52.6086,10.1886,42.0
W0624,52.6086,10.2182,60.0
W0625,52.6086,10.2477,49.0
W0626,52.6086,10.2772,47.0
W0627,52.6086,10.3068,56.0
W0628,52.6086,10.3658,60.0
W0629,52.6086,10.3954,73.0
W0630,52.6086,10.4249,56.0
W0631,52.6086,10.484,64.0
W0632,52.6086,10.5135,62.0
W0633,52.6086,10.5431,79.0
W0634,52.6086,10.6021,60.0
W0635,52.6086,10.6317,58.0
W0636,52.6086,10.6612,72.0
W0637,52.6086,10.6908,75.0
W0638,52.6086,10.7203,72.0
W0639,52.6086,10.7498,100.0
W0640,52.6086,10.7794,96.0
W0641,52.6086,10.8089,106.0
W0642,52.6086,10.8384,109.0
W0643,52.6086,10.868,83.0
W0644,52.6086,10.9566,71.0
W0645,52.6086,10.9861,76.0
W0646,52.6086,11.0157,92.0
W0647,52.6086,11.0452,57.0
W0648,52.6086,11.0747,80.0
W0649,52.6086,11.1043,97.0
W0650,52.6086,11.1338,79.0
W0651,52.6266,10.1,47.0
W0652,52.6266,10.1295,40.0
W0653,52.6266,10.1591,57.0
W0654,52.6266,10.1886,47.0
W0655,52.6266,10.2182,63.0
W0656,52.6266,10.2477,55.0
W0657,52.6266,10.2772,58.0
W0658,52.6266,10.3658,65.0
W0659,52.6266,10.3954,66.0
W0660,52.6266,10.4249,62.0
W0661,52.6266,10.4545,83.0
W0662,52.6266,10.484,80.0
W0663,52.6266,10.5135,77.0
W0664,52.6266,10.5726,81.0
W0665,52.6266,10.6021,58.0
W0666,52.6266,10.6317,62.0
W0667,52.6266,10.6612,64.0
W0668,52.6266,10.6908,71.0
W0669,52.6266,10.7203,98.0
W0670,52.6266,10.7498,101.0
W0671,52.6266,10.7794,100.0
W0672,52.6266,10.8089,91.0
W0673,52.6266,10.8384,115.0
W0674,52.6266,10.868,85.0
W0675,52.6266,10.9566,98.0
W0676,52.6266,10.9861,97.0
W0677,52.6266,11.0157,101.0
W0678,52.6266,11.0452,86.0
W0679,52.6266,11.1043,100.0
W0680,52.6266,11.1338,84.0
W0681,52.6446,10.1886,59.0
W0682,52.6446,10.2182,60.0
W0683,52.6446,10.2772,51.0
W0684,52.6446,10.3068,59.0
W0685,52.6446,10.3954,71.0
W0686,52.6446,10.4249,73.0
W0687,52.6446,10.5135,84.0
W0688,52.6446,10.5431,72.0
W0689,52.6446,10.5726,78.0
W0690,52.6446,10.6021,77.0
W0691,52.6446,10.6317,62.0
W0692,52.6446,10.6908,85.0
W0693,52.6446,10.7203,96.0
W0694,52.6446,10.7498,118.0
W0695,52.6446,10.7794,109.0
W0696,52.6446,10.8089,85.0
W0697,52.6446,10.8384,95.0
W0698,52.6446,10.868,82.0
W0699,52.6446,10.8975,82.0
W0700,52.6446,10.9271,81.0
W0701,52.6446,10.9566,82.0
W0702,52.6446,10.9861,71.0
W0703,52.6446,11.0157,91.0
W0704,52.6446,11.0452,78.0
W0705,52.6446,11.1043,56.0
W0706,52.6446,11.1338,56.0
W0707,52.6626,10.1,70.0
W0708,52.6626,10.1295,61.0
W0709,52.6626,10.1591,62.0
W0710,52.6626,10.1886,56.0
W0711,52.6626,10.2182,59.0
W0712,52.6626,10.2772,73.0
W0713,52.6626,10.3363,78.0
W0714,52.6626,10.3658,77.0
W0715,52.6626,10.3954,75.0
W0716,52.6626,10.4249,89.0
W0717,52.6626,10.4545,88.0
W0718,52.6626,10.5135,92.0
W0719,52.6626,10.5431,77.0
W0720,52.6626,10.5726,77.0
W0721,52.6626,10.6021,76.0
W0722,52.6626,10.6317,60.0
W0723,52.6626,10.6612,77.0
W0724,52.6626,10.6908,74.0
W0725,52.6626,10.7203,91.0
W0726,52.6626,10.7498,106.0
W0727,52.6626,10.7794,93.0
W0728,52.6626,10.8089,93.0
W0729,52.6626,10.8384,89.0
W0730,52.6626,10.868,75.0
W0731,52.6626,10.8975,75.0
W0732,52.6626,10.9271,98.0
W0733,52.6626,10.9566,104.0
W0734,52.6626,10.9861,108.0
W0735,52.6626,11.0157,84.0
W0736,52.6626,11.0452,98.0
W0737,52.6626,11.0747,42.0
W0738,52.6626,11.1338,52.0
W0739,52.6806,10.1,70.0
W0740,52.6806,10.1295,78.0
W0741,52.6806,10.1591,70.0
W0742,52.6806,10.1886,57.0
W0743,52.6806,10.2182,73.0
W0744,52.6806,10.2477,61.0
W0745,52.6806,10.2772,67.0
W0746,52.6806,10.3068,68.0
W0747,52.6806,10.3658,75.0
W0748,52.6806,10.3954,69.0
W0749,52.6806,10.4249,83.0
W0750,52.6806,10.4545,90.0
W0751,52.6806,10.484,90.0
W0752,52.6806,10.5135,98.0
W0753,52.6806,10.5726,88.0
W0754,52.6806,10.6021,66.0
W0755,52.6806,10.6317,66.0
W0756,52.6806,10.6612,71.0
W0757,52.6806,10.6908,67.0
W0758,52.6806,10.7203,71.0
W0759,52.6806,10.7498,90.0
W0760,52.6806,10.7794,110.0
W0761,52.6806,10.8089,88.0
W0762,52.6806,10.8975,83.0
W0763,52.6806,10.9271,77.0
W0764,52.6806,10.9566,81.0
W0765,52.6806,10.9861,87.0
W0766,52.6806,11.0452,43.0
W0767,52.6986,10.1,72.0
W0768,52.6986,10.1295,75.0
W0769,52.6986,10.1591,68.0
W0770,52.6986,10.1886,67.0
W0771,52.6986,10.2182,64.0
W0772,52.6986,10.2477,62.0
W0773,52.6986,10.2772,94.0
W0774,52.6986,10.3068,68.0
W0775,52.6986,10.3658,70.0
W0776,52.6986,10.3954,92.0
W0777,52.6986,10.4249,87.0
W0778,52.6986,10.4545,86.0
W0779,52.6986,10.484,102.0
W0780,52.6986,10.5135,101.0
W0781,52.6986,10.5431,96.0
